ecotypeid,rosette_color
6092,0.01173905
6974,-0.00885943
6197,-0.00105334
6138,0.01514447
8258,-0.00356304
8231,-0.00566662
9323,-0.00240041
6133,-0.00050549
6276,-0.00481666
6134,0.00315422
8426,-0.00374480
8240,-0.00589146
8351,0.00738727
1552,0.00003443
9343,-0.00061837
6194,0.00512552
6191,-0.00224831
6173,-0.00518376
9412,-0.00768983
8306,0.00701097
1585,0.01108521
8242,-0.00062487
8249,-0.00361954
5856,0.00866127
8247,-0.00720614
6209,-0.00145294
9388,-0.00102589
6193,-0.00382935
1158,-0.01536470
6221,0.00144924
7517,0.00547023
6174,-0.00623639
5832,0.01160436
6064,0.00745849
6030,0.00271584
9434,0.00454147
9442,-0.00778739
8241,-0.01410405
6220,0.00505222
6154,0.00555030
1063,-0.00471537
6188,-0.00385354
6009,0.00109162
6043,0.01287701
6118,0.00428750
6242,0.00588248
9407,-0.00773487
6025,-0.00149565
6131,0.01723927
6115,-0.00165069
9416,-0.00901892
6073,0.00431401
6019,-0.00273824
9433,0.00498013
6136,0.00043300
5831,-0.00001192
9453,0.01553452
9392,-0.00096988
9321,-0.00318337
6210,0.00257570
6016,0.00940698
6201,0.01416785
6243,-0.01293386
6036,-0.00543544
9404,0.01099430
6041,-0.01223662
997,-0.00463855
8230,-0.01667973
6252,-0.00385748
9450,-0.01181207
6129,-0.00426389
6090,-0.00015252
8423,-0.01191333
6111,0.01399186
6102,0.00374515
5867,-0.00249265
9409,-0.00244874
9058,-0.00613217
1254,-0.00121837
6017,0.00530988
6071,0.00019319
6244,0.00486460
9408,0.00317646
9476,-0.00658146
6023,-0.00226000
6149,0.00019363
6235,-0.00245440
8369,0.01059550
6124,-0.00393695
6151,0.00775371
6171,-0.00390950
6122,-0.00492576
6126,0.00247782
6098,-0.00312020
6112,0.01095297
9380,0.00627840
6900,0.01351038
6202,-0.00925193
6109,0.00902211
6195,-0.00438335
6046,0.01441247
6085,-0.00806447
9383,0.00060285
6189,0.00508238
6240,0.00642772
7516,0.01281091
8237,-0.00866509
9437,0.00809372
6069,0.00836874
6145,0.00779371
6258,-0.00248842
6042,-0.00636660
6192,-0.00483429
8422,-0.00850452
991,-0.00131547
1435,-0.01183240
6169,-0.01072981
8222,-0.00652660
9436,0.00743878
8335,0.01704479
1257,-0.00509300
6241,0.00755584
8386,-0.01009523
6039,-0.00980063
6035,0.00310625
6148,0.00356387
6020,-0.00924279
6973,-0.01426828
6163,0.00491041
9356,0.00668384
8334,-0.00113045
6913,0.00356717
6166,0.00213006
8259,-0.00337497
6094,-0.00981190
6108,0.00070915
8387,-0.00947324
6127,0.00260564
9452,-0.01366978
8307,-0.01176289
992,0.00224056
6038,0.00088460
6177,0.00432928
6203,0.00108714
6114,-0.00471577
9353,0.00875835
7519,0.00014925
9386,0.00627876
9470,-0.00986631
8326,-0.01065231
9369,-0.00387893
6231,0.00392971
9421,0.00121843
1318,-0.00472903
9391,-0.00186422
9413,-0.00922511
6218,0.00200642
9481,-0.00229969
9363,0.00420966
9382,-0.00172514
9451,-0.01604379
6106,-0.00916381
6040,-0.00240719
6964,-0.00369433
6284,-0.00985797
6184,-0.00019364
8283,0.00973356
6142,0.01141104
1062,-0.00774782
6140,0.00275565
6180,0.01445748
1317,-0.00354348
9399,-0.00489604
9332,-0.00634445
9339,-0.00154367
9454,0.00642879
6034,0.01375655
5829,0.02003476
9405,0.00246799
6011,0.00962815
6238,0.00747729
6021,-0.01215848
5830,-0.00629627
9427,-0.00118532
6013,-0.00016648
8256,0.00793999
5865,0.01605019
6012,-0.00370000
6918,0.00261159
6086,-0.00950939
9336,NA
6097,0.01330162
6237,-0.00291387
8227,0.00806393
6413,-0.00224533
6104,-0.00724231
1061,-0.00796214
1363,-0.00184098
6198,0.00775847
6217,0.00165616
