ecotypeid,flowering_time_16
1158,88.0000
1254,106.0000
1257,93.2500
1317,102.0000
1552,115.3333
5830,75.3333
5831,93.0000
5832,87.3333
6009,113.5000
6011,112.5000
6012,125.0000
6013,93.0000
6016,83.5000
6017,104.0000
6020,87.2500
6021,87.0000
6030,129.0000
6034,80.5000
6035,73.7500
6036,86.3333
6038,77.2500
6039,62.0000
6041,51.5000
6042,43.0000
6043,130.6667
6046,117.0000
6064,129.5000
6069,139.0000
6070,119.3333
6071,139.5000
6073,96.5000
6074,85.7500
6086,100.7500
6088,128.0000
6153,116.0000
6169,113.5000
6172,114.0000
6173,101.0000
6174,128.0000
6177,105.5000
6180,41.2500
6184,103.6667
6209,107.0000
6210,125.0000
6217,127.0000
6218,137.0000
6220,117.3333
6221,110.0000
6237,109.0000
6238,124.0000
6240,125.6667
6241,117.5000
6244,108.2500
6413,95.0000
6900,121.5000
6901,117.0000
6973,46.2500
6974,125.2500
7354,108.3333
8222,93.2500
8230,103.0000
8231,108.6667
8234,92.7500
8242,132.0000
8247,94.6667
8249,88.0000
8256,45.2500
8259,65.5000
8306,95.0000
8307,64.2500
8326,58.0000
8351,97.5000
8376,104.0000
8386,49.0000
8387,48.3333
8422,116.2500
8426,40.2500
9057,67.5000
9058,123.0000
9321,140.0000
9323,80.7500
9332,129.0000
9336,66.7500
9339,116.5000
9343,88.0000
9352,134.3333
9353,134.0000
9369,71.2500
9371,145.0000
9386,107.7500
9388,137.0000
9390,55.0000
9391,64.5000
9392,59.0000
9394,110.5000
9395,118.2500
9402,78.7500
9408,124.0000
9409,119.2500
9412,64.0000
9413,75.0000
9416,129.0000
9427,119.5000
9433,137.0000
9436,77.5000
9437,90.0000
9450,78.5000
9451,113.6667
9452,103.0000
9453,129.5000
9454,138.0000
9455,102.7500
9470,90.5000
